date,exercise_minutes
12/9/2019,21
12/10/2019,14
12/11/2019,16
12/12/2019,14
12/13/2019,17
12/14/2019,17
12/15/2019,9
12/16/2019,14
12/17/2019,17
12/18/2019,17
12/19/2019,14
12/20/2019,16
12/21/2019,26
12/22/2019,56
12/23/2019,11
12/24/2019,23
12/25/2019,24
12/26/2019,49
12/27/2019,15
12/28/2019,12
12/29/2019,15
12/30/2019,20
12/31/2019,25
1/1/2020,61
1/2/2020,17
1/3/2020,13
1/4/2020,20
1/5/2020,18
1/6/2020,13
1/7/2020,14
1/8/2020,14
1/9/2020,20
1/10/2020,22
1/11/2020,21
1/12/2020,41
1/13/2020,19
1/14/2020,18
1/15/2020,12
1/16/2020,17
1/17/2020,19
1/18/2020,25
1/19/2020,16
1/20/2020,12
1/21/2020,21
1/22/2020,15
1/23/2020,18
1/24/2020,42
1/25/2020,37
1/26/2020,27
1/27/2020,19
1/28/2020,16
1/29/2020,18
1/30/2020,23
1/31/2020,25
2/1/2020,35
2/2/2020,62
2/3/2020,20
2/4/2020,14
2/5/2020,17
2/6/2020,11
2/7/2020,14
2/8/2020,39
2/9/2020,53
2/10/2020,35
2/11/2020,18
2/12/2020,23
2/13/2020,31
2/14/2020,20
2/15/2020,23
2/16/2020,23
2/17/2020,19
2/18/2020,50
2/19/2020,73
2/20/2020,29
2/21/2020,73
2/22/2020,12
2/23/2020,12
2/24/2020,14
2/25/2020,12
2/26/2020,23
2/27/2020,31
2/28/2020,14
2/29/2020,17
3/1/2020,14
3/2/2020,14
3/3/2020,10
3/4/2020,17
3/5/2020,21
3/6/2020,12
3/7/2020,29
3/8/2020,14
3/9/2020,13
3/10/2020,16
3/11/2020,17
3/12/2020,13
3/13/2020,17
3/14/2020,13
3/15/2020,25
3/16/2020,19
3/17/2020,55
3/18/2020,12
3/19/2020,10
3/20/2020,15
3/21/2020,34
3/22/2020,8
3/23/2020,14
3/24/2020,13
3/25/2020,16
3/26/2020,13
3/27/2020,14
3/28/2020,8
3/29/2020,10
3/30/2020,14
3/31/2020,17
4/1/2020,14
4/2/2020,17
4/3/2020,18
4/4/2020,14
4/5/2020,10
4/6/2020,11
4/7/2020,30
4/8/2020,14
4/9/2020,12
4/10/2020,19
4/11/2020,12
4/12/2020,11
4/13/2020,12
4/14/2020,14
4/15/2020,14
4/16/2020,9
4/17/2020,18
4/18/2020,41
4/19/2020,15
4/20/2020,48
4/21/2020,29
4/22/2020,31
4/23/2020,25
4/24/2020,23
4/25/2020,15
4/26/2020,23
4/27/2020,20
4/28/2020,24
4/29/2020,14
4/30/2020,31
5/1/2020,20
5/2/2020,18
5/3/2020,14
5/4/2020,37
5/5/2020,33
5/6/2020,13
5/7/2020,13
5/8/2020,31
5/9/2020,82
5/10/2020,17
5/11/2020,22
5/12/2020,26
5/13/2020,7
5/14/2020,15
5/15/2020,36
5/16/2020,64
5/17/2020,10
5/18/2020,23
5/19/2020,21
5/20/2020,55
5/21/2020,36
5/22/2020,13
5/23/2020,90
5/24/2020,8
5/25/2020,10
5/26/2020,29
5/27/2020,19
5/28/2020,15
5/29/2020,25
5/30/2020,112
5/31/2020,20
6/1/2020,15
6/2/2020,36
6/3/2020,14
6/4/2020,22
6/5/2020,26
6/6/2020,59
6/7/2020,85
6/8/2020,35
6/9/2020,36
6/10/2020,25
6/11/2020,13
6/12/2020,76
6/13/2020,17
6/14/2020,67
6/15/2020,26
6/16/2020,19
6/17/2020,14
6/18/2020,16
6/19/2020,22
6/20/2020,15
6/21/2020,73
6/22/2020,27
6/23/2020,20
6/24/2020,10
6/25/2020,13
6/26/2020,16
6/27/2020,13
6/28/2020,14
6/29/2020,19
6/30/2020,12
7/1/2020,23
7/2/2020,16
7/3/2020,18
7/4/2020,16
7/5/2020,21
7/6/2020,20
7/7/2020,13
7/8/2020,14
7/9/2020,19
7/10/2020,6
7/11/2020,0
7/12/2020,10
7/13/2020,112
7/14/2020,26
7/15/2020,27
7/16/2020,16
7/17/2020,23
7/18/2020,21
7/19/2020,21
7/20/2020,18
7/21/2020,18
7/22/2020,15
7/23/2020,92
7/24/2020,14
7/25/2020,31
7/26/2020,15
7/27/2020,16
7/28/2020,18
7/29/2020,11
7/30/2020,24
7/31/2020,18
8/1/2020,20
8/2/2020,30
8/3/2020,14
8/4/2020,25
8/5/2020,15
8/6/2020,16
8/7/2020,12
8/8/2020,32
8/9/2020,43
8/10/2020,14
8/11/2020,15
8/12/2020,11
8/13/2020,21
8/14/2020,12
8/15/2020,53
8/16/2020,33
8/17/2020,22
8/18/2020,27
8/19/2020,13
8/20/2020,19
8/21/2020,22
8/22/2020,48
8/23/2020,39
8/24/2020,24
8/25/2020,24
8/26/2020,23
8/27/2020,14
8/28/2020,15
8/29/2020,22
8/30/2020,18
8/31/2020,16
9/1/2020,27
9/2/2020,59
9/3/2020,15
9/4/2020,20
9/5/2020,18
9/6/2020,27
9/7/2020,80
9/8/2020,18
9/9/2020,23
9/10/2020,28
9/11/2020,21
9/12/2020,14
9/13/2020,20
9/14/2020,15
9/15/2020,18
9/16/2020,30
9/17/2020,28
9/18/2020,15
9/19/2020,54
9/20/2020,10
